place,latitude,longitude
"Reykjavik, Iceland",64.13548,-21.89541
"London, United Kingdom",51.50853,-0.12574
"Paris, France",48.85341,2.3488
"Barcelona, Spain",41.38879,2.15899
"Rome, Italy",41.89193,12.51133
"Venice, Italy",45.43713,12.33265
"Athens, Greece",37.98376,23.72784
"Istanbul, Türkiye",41.01384,28.94966
"Prague, Czechia",50.08804,14.42076
"Vienna, Austria",48.20849,16.37208
"Amsterdam, Netherlands",52.37403,4.88969
"Dubrovnik, Croatia",42.64125,18.10909
"Cairo, Egypt",30.06263,31.24967
"Marrakesh, Morocco",31.63416,-7.99994
"Cape Town, South Africa",-33.92584,18.42322
"Victoria Falls, Zimbabwe",-17.93285,25.83066
"Zanzibar City, Tanzania",-6.16394,39.19793
"Nairobi, Kenya",-1.28333,36.81667
"New York City, United States",40.71427,-74.00597
"Los Angeles, United States",34.05223,-118.24368
"San Francisco, United States",37.77493,-122.41942
"Orlando, United States",28.53834,-81.37924
"Las Vegas, United States",36.17497,-115.13722
"Honolulu, United States",21.30694,-157.85834
"Vancouver, Canada",49.24966,-123.11934
"Mexico City, Mexico",19.42847,-99.12766
"Cancún, Mexico",21.17429,-86.84656
"Havana, Cuba",23.13302,-82.38304
"Rio de Janeiro, Brazil",-22.90642,-43.18223
"Buenos Aires, Argentina",-34.61315,-58.37723
"Lima, Peru",-12.04318,-77.02824
"Cusco, Peru",-13.53188,-71.96701
"Cartagena, Colombia",10.39817,-75.49328
"Santiago, Chile",-33.45694,-70.64827
"Quito, Ecuador",-0.22985,-78.52495
"Galápagos Islands, Ecuador",-0.74018,-90.3138
"Tokyo, Japan",35.6895,139.69171
"Kyoto, Japan",35.02107,135.75385
"Seoul, South Korea",37.566,126.9784
"Beijing, China",39.9075,116.39723
"Shanghai, China",31.22222,121.45806
"Hong Kong, China",22.27832,114.17469
"Singapore, Singapore",1.28967,103.85007
"Bangkok, Thailand",13.75398,100.50144
"Bali, Indonesia",-8.33333,115
"Hanoi, Vietnam",21.0245,105.84117
"Kathmandu, Nepal",27.70169,85.3206
"Agra, India",27.18333,78.01667
"Dubai, United Arab Emirates",25.07725,55.30927
"Jerusalem, Israel",31.76904,35.21633
"Sydney, Australia",-33.86785,151.20732
"Melbourne, Australia",-37.814,144.96332
"Auckland, New Zealand",-36.84853,174.76349
"Queenstown, New Zealand",-45.03023,168.6627
"Papeete, French Polynesia",-17.5347,-149.56844
"Alaska, USA",66.160507,66.160507
"Arizona, USA",34.0489,-111.0937
Iceland,64.9631,19.0208
Greenland,65.879471,-46.548794
"Mumbai, India",19.0761,72.8774
"Delhi, India",72.8774,77.21
"Bangalore, India",12.9716,77.5946
Switzerland,46.8182,8.2275
